step,loss
778,99433.3515625
779,99435.5
780,99437.828125
781,99440.0703125
782,99442.4609375
783,99444.75
784,99447.0234375
785,99449.2578125
786,99451.390625
787,99453.6640625
788,99455.8515625
789,99458.0234375
790,99460.2890625
791,99462.3515625
792,99464.5390625
793,99466.7109375
794,99468.8828125
795,99471.1796875
796,99473.3828125
797,99475.4609375
798,99477.5
799,99479.625
800,99481.8515625
801,99484.0703125
802,99486.0703125
803,99488.1875
804,99490.2890625
805,99492.3359375
806,99494.4375
807,99496.421875
808,99498.546875
809,99500.53125
810,99502.59375
811,99504.609375
812,99506.3671875
813,99508.5859375
814,99510.453125
815,99512.4765625
816,99514.5234375
817,99516.3671875
818,99518.1796875
819,99520.296875
820,99522.078125
821,99524.1953125
822,99525.9921875
823,99527.8046875
824,99529.8359375
825,99531.546875
826,99533.453125
827,99535.28125
828,99537.0
829,99539.0546875
830,99540.78125
831,99542.515625
832,99544.4375
833,99546.0625
834,99547.921875
835,99549.75
836,99551.4296875
837,99553.1171875
838,99554.8046875
839,99556.640625
840,99558.3359375
841,99559.9375
842,99561.734375
843,99563.59375
844,99565.3046875
845,99566.9609375
846,99568.6796875
847,99570.265625
848,99571.9609375
849,99573.7109375
850,99575.5390625
851,99577.1796875
852,99578.9296875
853,99580.5390625
854,99582.234375
855,99583.8671875
856,99585.546875
857,99587.1484375
858,99588.875
859,99590.484375
860,99592.1015625
861,99593.9140625
862,99595.34375
863,99597.03125
864,99598.6328125
865,99600.171875
866,99601.609375
867,99603.4140625
868,99604.7734375
869,99606.3046875
870,99607.7734375
871,99609.1875
872,99610.7265625
873,99612.203125
874,99613.65625
875,99615.2734375
876,99616.5234375
877,99618.0390625
878,99619.40625
879,99620.71875
880,99622.1484375
881,99623.6953125
882,99624.9453125
883,99626.3828125
884,99627.7265625
885,99629.09375
886,99630.359375
887,99631.671875
888,99633.234375
889,99634.515625
890,99635.8828125
891,99636.9765625
892,99638.3671875
893,99639.78125
894,99641.0859375
895,99642.3359375
896,99643.6796875
897,99645.0390625
898,99646.4296875
899,99647.53125
900,99648.9453125
901,99650.3125
902,99651.53125
903,99652.6875
904,99654.0625
905,99655.2265625
906,99656.46875
907,99657.5859375
908,99658.828125
909,99660.296875
910,99661.5
911,99662.5859375
912,99663.75
913,99665.1015625
914,99666.3046875
915,99667.484375
916,99668.5703125
