u,v,t_u,t_v,distance,score_diff,score_mean,color,color_reason
35,36,173.41153651959155,174.7541915233657,1.342655003774155,0.4925282074392525,4.641351237284635,blue,local-road
35,37,173.41153651959155,176.44143429771043,3.0298977781188796,0.2515302519781386,4.520852259554077,blue,local-road
35,38,173.41153651959155,178.37740777609997,4.9658712565084215,0.6191352720329197,4.704654769581468,blue,local-road
35,39,173.41153651959155,179.91648402025697,6.504947500665423,0.04276371441218796,4.4164689907711026,red,energy-similar
36,37,174.7541915233657,176.44143429771043,1.6872427743447247,0.2409979554611139,4.767116363273704,blue,local-road
36,38,174.7541915233657,178.37740777609997,3.6232162527342666,0.12660706459366722,4.950918873301094,red,energy-similar
36,39,174.7541915233657,179.91648402025697,5.1622924968912685,0.44976449302706456,4.662733094490728,blue,local-road
36,40,174.7541915233657,182.2070784843665,7.452886961000786,0.04258617706035661,4.9089084295344385,violet,bridge/gap-road
37,38,176.44143429771043,178.37740777609997,1.935973478389542,0.36760502005478113,4.830419895570538,blue,local-road
37,39,176.44143429771043,179.91648402025697,3.4750497225465438,0.20876653756595065,4.542234116760172,blue,local-road
37,40,176.44143429771043,182.2070784843665,5.765644186656061,0.2835841325214705,4.788409451803882,blue,local-road
37,41,176.44143429771043,184.8744678483875,8.433033550677067,0.3936466978259574,4.843440734456125,violet,bridge/gap-road
38,39,178.37740777609997,179.91648402025697,1.5390762441570018,0.5763715576207318,4.726036626787562,blue,local-road
38,40,178.37740777609997,182.2070784843665,3.8296707082665193,0.0840208875333106,4.972211961831272,red,energy-similar
38,41,178.37740777609997,184.8744678483875,6.497060072287525,0.026041677771176275,5.0272432444835164,red,energy-similar
38,42,178.37740777609997,185.5987836777075,7.22137590160753,0.45336121556339837,4.787541797816228,violet,bridge/gap-road
39,40,179.91648402025697,182.2070784843665,2.2905944641095175,0.49235067008742117,4.684026183020906,blue,local-road
39,41,179.91648402025697,184.8744678483875,4.957983828130523,0.602413235391908,4.739057465673151,blue,local-road
39,42,179.91648402025697,185.5987836777075,5.682299657450528,0.12301034205733341,4.499356019005862,red,energy-similar
39,43,179.91648402025697,187.22892258350186,7.312438563244882,0.20712138114556566,4.334290157404413,violet,bridge/gap-road
40,41,182.2070784843665,184.8744678483875,2.6673893640210053,0.11006256530448688,4.985232800716861,red,energy-similar
40,42,182.2070784843665,185.5987836777075,3.3917051933410107,0.36934032803008776,4.745531354049573,blue,local-road
40,43,182.2070784843665,187.22892258350186,5.021844099135365,0.6994720512329868,4.580465492448123,blue,local-road
40,44,182.2070784843665,189.41615865601693,7.209080171650442,0.04423580948370098,4.908083613322766,violet,bridge/gap-road
41,42,184.8744678483875,185.5987836777075,0.7243158293200054,0.47940289333457464,4.800562636701817,blue,local-road
41,43,184.8744678483875,187.22892258350186,2.354454735114359,0.8095346165374737,4.635496775100368,blue,local-road
41,44,184.8744678483875,189.41615865601693,4.541690807629436,0.15429837478818786,4.963114895975011,red,energy-similar
41,45,184.8744678483875,192.0266563607138,7.1521885123262905,0.7983531844828731,4.641087491127667,violet,bridge/gap-road
41,46,184.8744678483875,193.0797266038457,8.205258755458203,0.6018174813967088,4.73935534267075,violet,bridge/gap-road
42,43,185.5987836777075,187.22892258350186,1.6301389057943538,0.3301317232028991,4.3957953284330795,blue,local-road
42,44,185.5987836777075,189.41615865601693,3.817374978309431,0.3251045185463868,4.7234134493077224,blue,local-road
42,45,185.5987836777075,192.0266563607138,6.427872683006285,0.3189502911482984,4.401386044460381,blue,local-road
42,46,185.5987836777075,193.0797266038457,7.480942926138198,0.12241458806213412,4.499653896003462,violet,bridge/gap-road
43,44,187.22892258350186,189.41615865601693,2.187236072515077,0.6552362417492859,4.558347587706273,blue,local-road
43,45,187.22892258350186,192.0266563607138,4.797733777211931,0.011181432054600648,4.236320182858931,red,energy-similar
43,46,187.22892258350186,193.0797266038457,5.850804020343844,0.20771713514076495,4.334588034402013,blue,local-road
43,47,187.22892258350186,195.26539667952926,8.036474096027405,0.21017672828819833,4.33581783097573,violet,bridge/gap-road
44,45,189.41615865601693,192.0266563607138,2.6104977046968543,0.6440548096946852,4.563938303733574,blue,local-road
44,46,189.41615865601693,193.0797266038457,3.663567947828767,0.4475191066085209,4.662206155276656,blue,local-road
44,47,189.41615865601693,195.26539667952926,5.849238023512328,0.4450595134610875,4.6634359518503725,blue,local-road
44,48,189.41615865601693,196.87648184095832,7.460323184941387,0.04610142317057342,4.909016420166203,violet,bridge/gap-road
45,46,192.0266563607138,193.0797266038457,1.0530702431319128,0.1965357030861643,4.340178750429313,red,energy-similar
45,47,192.0266563607138,195.26539667952926,3.2387403188154735,0.19899529623359768,4.34140854700303,blue,local-road
45,48,192.0266563607138,196.87648184095832,4.849825480244533,0.6901562328652586,4.58698901531886,blue,local-road
45,49,192.0266563607138,198.0153096762519,5.988653315538102,0.025978709408654765,4.228921544181904,red,energy-similar
46,47,193.0797266038457,195.26539667952926,2.1856700756835608,0.002459593147433381,4.439676398546112,red,energy-similar
46,48,193.0797266038457,196.87648184095832,3.7967552371126203,0.4936205297790943,4.685256866861943,blue,local-road
46,49,193.0797266038457,198.0153096762519,4.935583072406189,0.22251441249481907,4.327189395724986,blue,local-road
46,50,193.0797266038457,201.2647519437038,8.1850253398581,0.06297439653643178,4.40695940370418,violet,bridge/gap-road
47,48,195.26539667952926,196.87648184095832,1.6110851614290596,0.49116093663166094,4.686486663435659,blue,local-road
47,49,195.26539667952926,198.0153096762519,2.749912996722628,0.22497400564225245,4.3284191922987025,blue,local-road
47,50,195.26539667952926,201.2647519437038,5.99935526417454,0.06543398968386516,4.408189200277896,red,energy-similar
47,51,195.26539667952926,202.4935945141405,7.228197834611251,0.4599538199350377,4.670883105087348,violet,bridge/gap-road
48,49,196.87648184095832,198.0153096762519,1.1388278352935686,0.7161349422739134,4.573999660614533,blue,local-road
48,50,196.87648184095832,201.2647519437038,4.38827010274548,0.5565949263155261,4.653769668593727,blue,local-road
48,51,196.87648184095832,202.4935945141405,5.617112673182191,0.03120711669662324,4.916463573403178,red,energy-similar
48,52,196.87648184095832,204.18967180310455,7.313189962146225,0.053294238237972635,4.905420012632503,violet,bridge/gap-road
49,50,198.0153096762519,201.2647519437038,3.2494422674519114,0.1595400159583873,4.2957021974567695,red,energy-similar
49,51,198.0153096762519,202.4935945141405,4.478284837888623,0.6849278255772902,4.558396102266221,blue,local-road
49,52,198.0153096762519,204.18967180310455,6.174362126852657,0.6628407040359408,4.547352541495547,blue,local-road
49,53,198.0153096762519,205.3946972021633,7.3793875259113975,0.36782895895756873,4.399846668956361,violet,bridge/gap-road
50,51,201.2647519437038,202.4935945141405,1.2288425704367114,0.5253878096189029,4.638166110245415,blue,local-road
50,52,201.2647519437038,204.18967180310455,2.9249198594007453,0.5033006880775535,4.62712254947474,blue,local-road
50,53,201.2647519437038,205.3946972021633,4.129945258459486,0.20828894299918144,4.479616676935555,blue,local-road
50,54,201.2647519437038,207.9062588878062,6.641506944102389,0.17035362691328082,4.460649018892604,violet,bridge/gap-road
51,52,202.4935945141405,204.18967180310455,1.6960772889640339,0.022087121541349397,4.889816454284192,red,energy-similar
51,53,202.4935945141405,205.3946972021633,2.9011026880227746,0.3170988666197214,4.742310581745006,blue,local-road
51,54,202.4935945141405,207.9062588878062,5.412664373665677,0.35503418270562204,4.723342923702056,blue,local-road
51,55,202.4935945141405,209.57650971685626,7.082915202715753,0.0185203688095541,4.9101201994596435,violet,bridge/gap-road
52,53,204.18967180310455,205.3946972021633,1.2050253990587407,0.295011745078372,4.731267020974331,blue,local-road
52,54,204.18967180310455,207.9062588878062,3.7165870847016436,0.33294706116427264,4.712299362931381,blue,local-road
52,55,204.18967180310455,209.57650971685626,5.3868379137517195,0.0406074903509035,4.899076638688969,red,energy-similar
52,56,204.18967180310455,211.69086259536533,7.501190792260786,0.5425163472579007,4.607514719884566,violet,bridge/gap-road
53,54,205.3946972021633,207.9062588878062,2.511561685642903,0.03793531608590062,4.564793490392194,red,energy-similar
53,55,205.3946972021633,209.57650971685626,4.181812514692979,0.3356192354292755,4.751570766149783,blue,local-road
53,56,205.3946972021633,211.69086259536533,6.296165393202045,0.24750460217952863,4.460008847345381,blue,local-road
53,57,205.3946972021633,213.34791935971265,7.953222157549362,0.29652473580648486,4.732023516338387,violet,bridge/gap-road
54,55,207.9062588878062,209.57650971685626,1.670250829050076,0.37355455151517614,4.732603108106833,blue,local-road
54,56,207.9062588878062,211.69086259536533,3.7846037075591425,0.20956928609362802,4.44104118930243,blue,local-road
54,57,207.9062588878062,213.34791935971265,5.441660471906459,0.3344600518923855,4.713055858295437,blue,local-road
54,58,207.9062588878062,214.5470447834914,6.640785895685212,0.05690471293646304,4.517373475881013,violet,bridge/gap-road
55,56,209.57650971685626,211.69086259536533,2.1143528785090666,0.5831238376088042,4.6278184650600185,blue,local-road
55,57,209.57650971685626,213.34791935971265,3.7714096428563835,0.03909449962279066,4.899833134053026,red,energy-similar
55,58,209.57650971685626,214.5470447834914,4.9705350666351364,0.4304592644516392,4.7041507516386005,blue,local-road
55,59,209.57650971685626,216.1695385082637,6.593028791407448,0.6598435860243637,4.589458590852239,blue,local-road
56,57,211.69086259536533,213.34791935971265,1.6570567643473169,0.5440293379860135,4.608271215248623,blue,local-road
56,58,211.69086259536533,214.5470447834914,2.85618218812607,0.15266457315716497,4.412588832834199,red,energy-similar
56,59,211.69086259536533,216.1695385082637,4.478675912898382,0.07671974841555951,4.297896672047837,red,energy-similar
56,60,211.69086259536533,219.06759634902136,7.376733753656026,0.3731073438333148,4.522810218172274,violet,bridge/gap-road
57,58,213.34791935971265,214.5470447834914,1.199125423778753,0.3913647648288485,4.684603501827206,blue,local-road
57,59,213.34791935971265,216.1695385082637,2.821619148551065,0.620749086401573,4.569911341040843,blue,local-road
