length,trace,word_len
17.470407129509056,6218.0,6
8.050065321103236,56.0,6
11.698632949632728,347.0,6
14.431948925575595,1361.0,8
18.760841270462446,11854.0,8
7.521317687065102,43.0,3
16.60056025625329,-4025.0,8
5.659470075048787,-17.0,3
6.800168828226681,30.0,5
11.255216348301271,278.0,7
4.584863339122376,10.0,2
5.117957954057237,13.0,3
10.616486378198003,-202.0,7
20.216526889664568,-24545.0,8
15.82411350800604,-2730.0,6
12.17353912316606,-440.0,7
6.661853105282506,-28.0,5
19.983179997323116,21842.0,8
14.479864153429075,1394.0,6
16.894828501635416,-4663.0,8
9.288596861390745,-104.0,3
10.884797939432989,231.0,6
5.267831587699277,-14.0,3
9.524201750873207,-117.0,5
9.24975336509101,102.0,4
5.267831587699277,-14.0,2
12.92605404623417,641.0,7
8.885025638883377,85.0,3
9.672437825682314,126.0,6
14.521044208490022,1423.0,5
13.88817255662974,1037.0,8
8.687273433321595,-77.0,3
14.146537998549015,-1180.0,6
8.050065321103236,56.0,4
12.104167265092519,-425.0,5
7.7415334005741885,48.0,3
8.253748275582243,-62.0,4
9.9115549211539,-142.0,5
22.339686862989506,70958.0,8
11.982916594098775,-400.0,4
6.513227909600108,-26.0,2
13.974978788808603,-1083.0,6
13.897792602603161,1042.0,6
2.633915793849788,-4.0,4
14.408297478503046,1345.0,7
18.768923450291044,-11902.0,8
